X,Y,Result,Player,Quarter
719,208,Missed,NTILIKINA,1st Quarter
522,271,Missed,NTILIKINA,1st Quarter
698,408,Missed,NTILIKINA,1st Quarter
716,218,Made,BATUM,1st Quarter
672,39,Missed,BATUM,1st Quarter
721,255,Missed,YABUSELE,1st Quarter
634,396,Missed,YABUSELE,1st Quarter
713,190,Made,YABUSELE,1st Quarter
743,253,Missed,CORDINIER,1st Quarter
667,297,Missed,CORDINIER,1st Quarter
455,53,Missed,FOURNIER,1st Quarter
632,53,Missed,FOURNIER,1st Quarter
737,191,Made,RUDY,1st Quarter
535,100,Made,WEMBY,1st Quarter
699,197,Made,WEMBY,1st Quarter
700,212,Made,WEMBY,1st Quarter
698,231,Missed,WEMBY,1st Quarter
503,228,Missed,WEMBY,1st Quarter
527,167,Missed,WEMBY,1st Quarter
